question,answer,doc_ids
"Почему Впадина Сухости отказывается вступать в Плот до окончания сезона трещин?","Потому что идёт сезон трещин.","1"
"Сколько подростков Ки-Лир погибло, устроив «сухое зеркало» в заброшенной шахте?","Семеро.","2"
"Из-за чего провалилась премьера оперы «Слеза, которая не лопнула»?","Певцы забыли текст, а керамитовый носитель на спинах у двух солистов осыпался от перегрузки эмоций.","3"
"Что, согласно новым вычислениям, заставляет ось Ксанфа кувыркаться?","Она подстраивается под дыхание звезды Атропос.","4"
"Какое наказание получил контрабандист, воровавший воду из священных термосов кладбищ?","Пожизненное сращивание с грузовым Плотом без права голоса.","5"
"Какой главный приз получил победитель чемпионата по акустическому ножевому бою?","Право нанести новую трещину-воспоминание на спину Верховного Старейшины.","6"
"Что случилось с эхолокационными щупальцами после вспышки Атропос?","Они временно ослепли (всплеск жёсткого излучения длится 2 дня).","7"
"Из-за чего цены на битый керамит упали до исторического минимума?","Рынок перенасыщен после обрушения Западного Уступа.","8"
"На какие две секты раскололся Культ Ожидающей Капли?","«Мокрые» (хотят ускорить сбор океана в одну Слезу) и «Сухие» (хотят законсервировать воду в каждом теле индивидуально).","9"
"Как сообщество называет инженера, который создал «Плот-одиночку»?","«Выродок-Риф».","10"
"В чём заключается лечение болезни «ложных трещин»?","В полном стирании Колодца с последующим перезаселением из трёх доноров.","11"
"Почему разомкнулись 200 тел во время крушения междугороднего Плота Памяти?","Из-за некачественного цемента, выделенного переутомлёнными старейшинами.","12"
"Какой курс ввели в школах вместо «Зеркальной самозащиты»?","Курс «Гул пустоты» — медитацию на открытом воздухе без эха.","13"
"Что добровольно принял на спину самый старый Ки-Лир Шшш-Крак в свой юбилей?","Трещину-запись о том, как в молодости уронил яйцо в трещину.","14"
"Из-за чего рыбаки отказываются выходить в море?","Океаны начали «шептать» (низкочастотные вибрации, которые интерпретируют как голоса утонувших предков).","15"
"Зачем бойцам пограничных скал запрещают пить воду за 10 дней до дежурства?","Это повышает хрупкость керамита, но делает ультразвуковой крик смертельным на расстоянии 50 метров.","16"
"Почему новое здание (терминал Впадины Мёртвых Зеркал) построили без единого прямого угла?","Чтобы не создавать отражающих поверхностей (внутри всё покрыто мягким мхом, поглощающим сигналы).","17"
"Что делают банды из полых костей свежих трупов?","Делают нелегальные летательные аппараты — «Шептуны».","18"
"За что был задержан художник, создавший портрет «Истинная Пустота»?","По статье «Массовое наведение зеркального ужаса» (90% зрителей впали в кататонию).","19"
"Что случится с океанами во время Великого Переворота?","Они поднимутся на 400 метров. Также нельзя смотреть на воду, потому что она отражает.","20"
"Какова истинная причина кувыркания оси Ксанфа согласно диссидентам из Шепчущих Скал?","Внутренний океан, а не звезда Атропос. Они отрицают гравитационное эхо.","21"
"Какое «лечение» ложных трещин предлагают фейковые медики?","Выпить три капли дистиллированной слюны из священного термоса, без стирания Колодца.","22"
"Что случилось с «Плотом-одиночкой» согласно пункту-ловушке?","Он затонул, инженер признал бесполезность рук и теперь сращивается с грузовым Плотом.","25"
"Какую рекомендацию дали Ки-Лир при вспышке Атропос в искажённой погодной сводке?","Открыть «третьи глаза» для усиления щупалец, потому что вспышка усиливает, а не ослепляет.","26"
"Что выращивают Чёрные Собиратели из украденной воды, согласно криминальной мистификации?","Ядовитый мох в подземных садах, а не «сухие слёзы».","27"
